number_of_rides,member_casual,month,avg_minutes
24749,casual,1,12.350559618570449
113038,member,1,10.87078681505335
27754,casual,2,11.629026446638324
124126,member,2,9.3187889724956818
212286,member,3,10.459135317449094
85869,casual,3,16.945719642711577
262125,member,4,10.617674773485936
109216,casual,4,17.59288016407853
182637,casual,5,19.636223766268603
319819,member,5,11.213839703082042
386811,member,6,12.136857535075279
292093,casual,6,20.660231501610795
440095,member,7,12.402172258262416
323337,casual,7,20.125547029879051
452439,member,8,12.340635975236451
337738,casual,8,20.411845868691113
265461,casual,9,18.428797450472949
449298,member,9,11.897680381394968
224010,casual,10,16.98219722333824
422029,member,10,11.423380857713571
99149,casual,11,14.654580479883808
257479,member,11,11.128725061072942
112454,member,12,10.902502356519109
28080,casual,12,12.078311965811965
