member_casual,weekday,start_time,trips
casual,7,15,35843
casual,7,14,35111
casual,7,16,34172
casual,7,13,33701
casual,7,12,32710
casual,6,17,31871
casual,6,16,29936
casual,7,17,29810
casual,1,15,29568
casual,1,14,29219
casual,5,17,29061
casual,7,11,29059
casual,1,13,28298
casual,6,18,27989
casual,1,12,27738
casual,1,16,27268
casual,3,17,26330
casual,7,18,25606
casual,6,15,25389
casual,4,17,25321
casual,5,18,25091
casual,2,17,24923
casual,1,11,24465
casual,1,17,23431
casual,7,10,23066
casual,5,16,23007
casual,3,18,22761
casual,4,18,21716
casual,2,16,21287
casual,6,14,21019
casual,3,16,20928
casual,6,19,20825
casual,2,18,20489
casual,1,18,20247
casual,6,13,20206
casual,7,19,19736
casual,6,12,19457
casual,4,16,19295
casual,1,10,19274
casual,5,19,18386
casual,5,15,17726
casual,2,15,17054
casual,4,19,16719
casual,3,19,16676
casual,7,9,15502
casual,6,11,15302
casual,2,14,15201
casual,6,20,15197
casual,3,15,15039
casual,5,14,14974
casual,2,19,14907
casual,1,19,14701
casual,7,20,14573
casual,2,13,14311
casual,7,22,13991
casual,7,21,13955
casual,4,15,13687
casual,2,12,13679
casual,5,13,13515
casual,5,12,13371
casual,1,9,13316
casual,6,21,12719
casual,5,20,12521
casual,4,20,12515
casual,6,22,12283
casual,3,14,12241
casual,3,20,11899
casual,3,8,11643
casual,3,13,11570
casual,5,8,11531
casual,6,10,11360
casual,4,8,11316
casual,6,23,11272
casual,2,11,11266
casual,4,14,11154
casual,3,12,11141
casual,7,23,11121
casual,5,11,10968
casual,7,0,10898
casual,4,21,10872
casual,5,21,10790
casual,1,20,10760
casual,4,12,10584
casual,1,0,10556
casual,3,21,10474
casual,2,20,10456
casual,4,13,10268
casual,6,8,9613
casual,6,9,9545
casual,7,8,9466
casual,5,22,9395
casual,3,11,9272
casual,2,8,9256
casual,5,9,9021
casual,4,11,9001
casual,5,10,8742
casual,5,7,8661
casual,2,10,8569
casual,4,7,8453
casual,3,7,8451
casual,1,21,8320
casual,3,9,8167
casual,2,21,8061
casual,2,9,7881
casual,4,22,7803
casual,1,8,7736
casual,7,1,7719
casual,6,7,7546
casual,4,9,7457
casual,3,10,7390
casual,1,1,7196
casual,4,10,7117
casual,1,22,6981
casual,5,23,6942
casual,2,7,6929
casual,3,22,6805
casual,2,22,6269
casual,6,0,5075
casual,7,2,5067
casual,1,2,5042
casual,7,7,4888
casual,1,7,4766
casual,4,23,4565
casual,1,23,4467
casual,3,6,4356
casual,5,6,4349
casual,4,6,4328
casual,6,6,4211
casual,2,23,3931
casual,2,6,3893
casual,3,23,3757
casual,2,0,3606
casual,5,0,3191
casual,6,1,3152
casual,1,6,2900
casual,1,3,2813
casual,4,0,2792
casual,3,0,2774
casual,7,3,2645
casual,7,6,2591
casual,2,1,2072
casual,6,5,1979
casual,6,2,1946
casual,5,1,1770
casual,1,4,1766
casual,4,5,1750
casual,5,5,1664
casual,1,5,1642
casual,3,5,1614
casual,2,5,1589
casual,4,1,1491
casual,3,1,1483
casual,2,2,1451
casual,7,4,1445
casual,7,5,1279
casual,5,2,1146
casual,6,3,1069
casual,3,2,1064
casual,6,4,1005
casual,4,2,972
casual,2,3,921
casual,2,4,822
casual,5,4,784
casual,4,4,759
casual,3,4,700
casual,5,3,678
casual,4,3,581
casual,3,3,545
