member_casual,weekday,start_time,trips
member,3,17,71511
member,5,17,68101
member,4,17,66320
member,2,17,63417
member,3,16,58653
member,5,16,55670
member,4,16,54716
member,6,17,53331
member,3,8,52913
member,3,18,51856
member,2,16,50980
member,5,18,50578
member,6,16,50171
member,5,8,49801
member,4,8,49585
member,4,18,48857
member,2,18,45940
member,6,18,43686
member,3,7,42146
member,2,8,41076
member,4,7,40730
member,5,7,38722
member,6,15,38589
member,5,15,35498
member,6,8,34396
member,7,16,34262
member,3,19,34255
member,5,19,34141
member,3,15,34086
member,7,15,33996
member,7,14,33991
member,7,12,33921
member,7,13,33782
member,2,7,33552
member,7,11,33361
member,4,19,33030
member,4,15,32155
member,2,15,32117
member,7,17,31475
member,2,19,30966
member,1,15,30709
member,1,12,30460
member,6,19,30405
member,1,14,30375
member,1,13,30217
member,1,16,30162
member,6,14,29747
member,7,10,29681
member,6,12,29058
member,1,11,29021
member,7,18,29014
member,6,13,28968
member,1,17,28086
member,6,7,27970
member,5,9,27074
member,5,12,26034
member,1,18,25992
member,3,9,25758
member,4,9,25582
member,5,14,24998
member,1,10,24683
member,5,13,24579
member,6,11,24128
member,3,12,23934
member,4,12,23791
member,7,9,23611
member,3,20,23515
member,2,14,23486
member,6,9,23473
member,4,20,23072
member,2,12,23022
member,5,20,22991
member,3,14,22776
member,3,13,22746
member,2,9,22699
member,4,14,22394
member,2,13,22346
member,4,13,22287
member,7,19,22242
member,5,11,22106
member,6,20,20861
member,2,20,20797
member,3,6,20366
member,4,11,20096
member,3,11,20059
member,4,6,19825
member,1,19,19503
member,2,11,19322
member,6,10,19199
member,5,10,19029
member,5,6,18598
member,1,9,18547
member,4,21,18121
member,5,21,18099
member,3,21,18056
member,3,10,17309
member,2,6,17252
member,4,10,17228
member,7,8,16917
member,6,21,16409
member,7,20,16154
member,2,10,16120
member,6,6,15362
member,2,21,14886
member,1,20,14258
member,6,22,14087
member,7,21,14036
member,5,22,13559
member,7,22,13351
member,1,8,12243
member,4,22,11759
member,6,23,11065
member,1,21,11011
member,3,22,10902
member,7,23,10607
member,7,7,9536
member,2,22,9036
member,7,0,8753
member,5,23,8253
member,1,0,8234
member,1,22,8011
member,1,7,7052
member,3,5,6635
member,4,5,6491
member,7,1,5993
member,4,23,5953
member,2,5,5706
member,5,5,5703
member,6,5,5649
member,1,1,5532
member,3,23,5390
member,7,6,5303
member,1,23,4640
member,6,0,4554
member,2,23,4501
member,1,6,4260
member,7,2,3695
member,1,2,3584
member,5,0,3097
member,4,0,2724
member,2,0,2649
member,6,1,2574
member,3,0,2399
member,7,5,2170
member,1,3,2118
member,7,3,1992
member,1,5,1943
member,5,1,1690
member,2,1,1538
member,1,4,1510
member,6,2,1439
member,4,1,1373
member,3,1,1314
member,6,4,1313
member,2,4,1260
member,3,4,1222
member,5,4,1207
member,7,4,1195
member,4,4,1127
member,6,3,1017
member,5,2,948
member,2,2,927
member,4,2,768
member,2,3,758
member,3,2,726
member,5,3,706
member,4,3,673
member,3,3,640
